Algorithm,Data Size,Time (s),Memory (KB)
Bubble,10,2e-05,0.19
Bubble,20,2e-05,0.27
Bubble,30,3e-05,0.34
Bubble,50,6e-05,0.5
Bubble,100,0.0002,0.89
Bubble,150,0.00042,1.28
Bubble,200,0.00072,1.67
Bubble,300,0.0028,2.55
Bubble,400,0.01211,3.33
Bubble,500,0.02983,4.11
Bubble,1000,0.24028,8.05
Bubble,1500,0.65376,11.95
Bubble,2000,1.22627,15.86
Bubble,2500,2.03427,19.77
Bubble,3000,3.0622,23.67
Selection,10,1e-05,0.19
Selection,20,1e-05,0.27
Selection,30,2e-05,0.34
Selection,50,5e-05,0.5
Selection,100,0.00012,0.89
Selection,150,0.00024,1.28
Selection,200,0.00039,1.67
Selection,300,0.00333,2.57
Selection,400,0.01148,3.36
Selection,500,0.02131,4.14
Selection,1000,0.11353,8.07
Selection,1500,0.2557,11.98
Selection,2000,0.44402,15.89
Selection,2500,0.70923,19.79
Selection,3000,1.0139,23.7
Insertion,10,0.0,0.16
Insertion,20,1e-05,0.23
Insertion,30,1e-05,0.31
Insertion,50,2e-05,0.47
Insertion,100,9e-05,0.86
Insertion,150,0.00017,1.25
Insertion,200,0.00033,1.64
Insertion,300,0.00115,2.48
Insertion,400,0.00552,3.26
Insertion,500,0.01393,4.04
Insertion,1000,0.10455,7.95
Insertion,1500,0.25876,11.86
Insertion,2000,0.49366,15.76
Insertion,2500,0.80525,19.67
Insertion,3000,1.16029,23.57
Quick,10,3e-05,0.47
Quick,20,4e-05,0.78
Quick,30,5e-05,0.88
Quick,50,0.0001,1.62
Quick,100,0.0002,2.55
Quick,150,0.00028,3.16
Quick,200,0.00041,5.85
Quick,300,0.00063,11.09
Quick,400,0.00083,12.38
Quick,500,0.00104,11.41
Quick,1000,0.00253,27.97
Quick,1500,0.0036,32.07
Quick,2000,0.00439,54.62
Quick,2500,0.00598,83.33
Quick,3000,0.00686,86.75
Merge,10,2e-05,0.27
Merge,20,4e-05,0.48
Merge,30,5e-05,0.53
Merge,50,9e-05,0.97
Merge,100,0.00017,1.79
Merge,150,0.00027,2.59
Merge,200,0.00035,3.41
Merge,300,0.00059,5.12
Merge,400,0.00078,6.53
Merge,500,0.00097,8.26
Merge,1000,0.00358,16.84
Merge,1500,0.00579,24.38
Merge,2000,0.0077,33.28
Merge,2500,0.01357,42.36
Merge,3000,0.01428,50.25
